Feature,Importance_3,Importance_1,Importance_2,Importance_0,Mean_Importance,Std_Importance,CV,Stability,Robust
bollinger_middle,0.005352877481680438,0.0036222317656181033,0.003846699730169876,0.002585021049631799,0.003851707506775054,0.0011417369907110282,0.2964235885150634,0.7035764114849365,False
ema_50,0.006274918049146007,0.0025290069031219608,0.0037002147124761586,0.002713165578430819,0.003804326310793736,0.0017254694141936953,0.45355451343453274,0.5464454865654673,False
sma_20_lag1,0.006226864912696307,0.003940408985520406,0.003591723455255456,0.001406644351846116,0.0037914104263295717,0.00197320578773298,0.5204410796535983,0.4795589203464017,False
low_lag1,0.003868203192374561,0.003701987864787795,0.002699176043891878,0.004892661860610063,0.0037905072404160745,0.0008980758928832694,0.2369276226713994,0.7630723773286006,False
sma_20_lag10,0.004449134373927647,0.003252447322563408,0.004019222913246002,0.0029157973629391986,0.003659150493169064,0.0007004065545004763,0.1914123337279427,0.8085876662720572,False
open_lag20,0.004836263789465342,0.0030766830135443104,0.004461871838704761,0.002223648489013233,0.0036496167826819115,0.0012151170139962295,0.33294371794534877,0.6670562820546513,False
open_lag1,0.0032624496842335276,0.004742270241340373,0.0033675721134520686,0.0029858169296470764,0.0035895272421682615,0.0007851807375062789,0.21874209684442433,0.7812579031555756,False
close_lag5,0.005071041163303211,0.0021138003024748536,0.0033044807541583853,0.003558316673486063,0.003511909723355628,0.0012152888795222364,0.3460478601813951,0.6539521398186049,False
high_lag15,0.0036305744211705543,0.0018580388071445502,0.0044034524559508235,0.004099939811025695,0.0034980013738229055,0.0011385991945219434,0.32549991846561116,0.6745000815343889,False
vama_20d,0.00488828675362,0.003285395180847356,0.004030570389390294,0.0016989357275689432,0.0034757970128566486,0.0013535619246835408,0.3894248947031004,0.6105751052968996,False
bollinger_upper,0.003982731181609386,0.004042821795883738,0.002940292042841111,0.0027158745048046855,0.00342042988128473,0.0006905275930130684,0.20188327104819226,0.7981167289518077,False
open_lag5,0.003161102921429846,0.0015519022518885029,0.0028690301017717567,0.006039308594245475,0.003405335967333895,0.0018903528858405533,0.555114928001966,0.44488507199803395,False
sma_20_lag2,0.005128445418402603,0.002836603678420569,0.00392378502813503,0.0016915910975324586,0.0033951063056226654,0.0014717172418998962,0.43348191958360194,0.5665180804163981,False
sma_20_lag3,0.003883552935806183,0.0030638610322210606,0.004291531311617083,0.002340117198981751,0.0033947656196565193,0.0008688848953158131,0.25594841207590796,0.7440515879240921,False
high_lag10,0.005120746805496191,0.0038126460560390907,0.0039654440288018145,0.0005095804250216016,0.0033521043288396745,0.001982954245904521,0.5915550329650432,0.4084449670349568,False
sma_50,0.005877889960744917,0.003118037912278476,0.0032204605613356274,0.0011636431453610182,0.003345007894930009,0.0019357058265930878,0.578684962644937,0.42131503735506304,False
open_lag10,0.005337780297427538,0.0018600131863959037,0.004207721420446654,0.0019117222974921238,0.0033293093004405547,0.001729542095467904,0.519489746203534,0.48051025379646595,False
close_lag15,0.004227860232358963,0.0047082826293491,0.002120127497094239,0.0022536864598013896,0.003327489204650923,0.0013326706390985904,0.40050335766245143,0.5994966423375485,False
high_lag3,0.004517324982560184,0.0020675570260698696,0.0029524397833183393,0.0036665721407462036,0.003300973483173649,0.001041787765505047,0.31560015227490634,0.6843998477250937,False
sma_20,0.0030552324709444815,0.003152638770523038,0.004834364705331639,0.002084506582126751,0.0032816856322314776,0.0011419258745392223,0.3479692961832566,0.6520307038167434,False
low_lag3,0.00399463630053322,0.0028418837165268274,0.004863159141943733,0.0012065893972706381,0.0032265671390686044,0.0015807862003452008,0.48992817543189265,0.5100718245681073,False
close_lag2,0.004874549278139464,0.0028344453707249383,0.0035536154272781516,0.0015591353771793575,0.0032054363633304776,0.0013850520852480873,0.43209469321660043,0.5679053067833996,False
